,,lower,upper,gi,gk,Energy [cm^-1],fij(l),fij(v),Aij(l),Aij(v),lower,upper,Upper -> lower,Reversed (R) or ok (O) ,Wavelength (NIST energies),Wavelength (MCDHF energies)
4p,3d,4p-3P1,3d-3F2,3,5,5880.73,8.886E-05,1.0138E-04,4.10E+02,4.68E+02,Ar(4p'[1/2]1),Ar(3d[5/2]2),Ar(3d[5/2]2)->Ar(4p'[1/2]1),O,1686.47,1700.47
4p,3d,4p-3P1,3d-1D2,3,5,7081.27,0.00203,0.0022,1.36E+04,1.48E+04,Ar(4p'[1/2]1),Ar(3d'[5/2]2),Ar(3d'[5/2]2)->Ar(4p'[1/2]1),O,1399.66,1412.18
4p,3d,4p-3P1,3d-3D2,3,5,7208.62,2.03287,2.29804,1.41E+07,1.59E+07,Ar(4p'[1/2]1),Ar(3d'[3/2]2),Ar(3d'[3/2]2)->Ar(4p'[1/2]1),O,1368.23,1387.23
4p,3d,4p-3D2,3d-3P1,5,3,6935.52,0.05642,0.07,6.04E+05,7.49E+05,Ar(4p[5/2]2),Ar(3d[1/2]1),Ar(3d[1/2]1)->Ar(4p[5/2]2),O,1612.71,1441.85
4p,3d,4p-3D2,3d-3D1,5,3,8526.72,0.08219,0.06704,1.33E+06,1.08E+06,Ar(4p[5/2]2),Ar(3d[3/2]1),Ar(3d[3/2]1)->Ar(4p[5/2]2),O,1172.27,1172.78
4p,3d,4p-3D2,3d-1P1,5,3,10084.52,0.00115,6.7622E-04,2.62E+04,1.53E+04,Ar(4p[5/2]2),Ar(3d'[3/2]1),Ar(3d'[3/2]1)->Ar(4p[5/2]2),O,1025.68,991.62
4p,3d,4p-3P2,3d-3P1,5,3,6342.5,0.22333,0.32647,2.00E+06,2.92E+06,Ar(4p[3/2]2),Ar(3d[1/2]1),Ar(3d[1/2]1)->Ar(4p[3/2]2),O,1791.96,1576.67
4p,3d,4p-3P2,3d-3D1,5,3,7933.7,0.00924,0.00868,1.29E+05,1.22E+05,Ar(4p[3/2]2),Ar(3d[3/2]1),Ar(3d[3/2]1)->Ar(4p[3/2]2),O,1264.19,1260.44
4p,3d,4p-3P2,3d-1P1,5,3,9491.51,0.02464,0.01605,4.94E+05,3.21E+05,Ar(4p[3/2]2),Ar(3d'[3/2]1),Ar(3d'[3/2]1)->Ar(4p[3/2]2),O,1095.37,1053.57
4p,3d,4p-1D2,3d-3P1,5,3,5266.91,0.03171,0.06733,1.96E+05,4.16E+05,Ar(4p'[3/2]2),Ar(3d[1/2]1),Ar(3d[1/2]1)->Ar(4p'[3/2]2),O,2208.32,1898.65
