BOLSIG+ script file: glow-discharge/CR/1Torr_100V/Transport/input.300K.bolsig.dat
READCOLLISIONS
Ar
glow-discharge/nominal-crs/BSR_CRModel.txt
C1    Ar    Elastic                                             
C298  Ar(2p4)    Excitation    0.78 eV                          
C299  Ar(2p4)    Excitation    0.80 eV                          
C300  Ar(2p4)    Excitation    0.81 eV                          
C301  Ar(2p4)    Excitation    0.83 eV                          
C302  Ar(2p4)    Excitation    0.92 eV                          
C303  Ar(2p4)    Excitation    0.93 eV                          
C304  Ar(2p4)    Excitation    0.94 eV                          
C305  Ar(2p4)    Excitation    0.95 eV                          
C306  Ar(2p4)    Excitation    0.95 eV                          
C307  Ar(2p4)    Excitation    0.98 eV                          
C308  Ar(2p4)    Ionization    2.48 eV                          
Ar(2p3)
glow-discharge/nominal-crs/BSR_CRModel.txt
C309  Ar(2p3)    Excitation    0.024 eV                         
C310  Ar(2p3)    Excitation    0.18 eV                          
C311  Ar(2p3)    Excitation    0.65 eV                          
C312  Ar(2p3)    Excitation    0.66 eV                          
C313  Ar(2p3)    Excitation    0.68 eV                          
C314  Ar(2p3)    Excitation    0.73 eV                          
C315  Ar(2p3)    Excitation    0.75 eV                          
C316  Ar(2p3)    Excitation    0.75 eV                          
C317  Ar(2p3)    Excitation    0.76 eV                          
C318  Ar(2p3)    Excitation    0.78 eV                          
C319  Ar(2p3)    Excitation    0.79 eV                          
C320  Ar(2p3)    Excitation    0.81 eV                          
C321  Ar(2p3)    Excitation    0.89 eV                          
C322  Ar(2p3)    Excitation    0.91 eV                          
C323  Ar(2p3)    Excitation    0.92 eV                          
C324  Ar(2p3)    Excitation    0.93 eV                          
C325  Ar(2p3)    Excitation    0.93 eV                          
C326  Ar(2p3)    Excitation    0.96 eV                          
C327  Ar(2p3)    Ionization    2.46 eV                          
Ar(2p2)
glow-discharge/nominal-crs/BSR_CRModel.txt
C328  Ar(2p2)    Excitation    0.15 eV                          
C329  Ar(2p2)    Excitation    0.63 eV                          
C330  Ar(2p2)    Excitation    0.64 eV                          
C331  Ar(2p2)    Excitation    0.66 eV                          
C332  Ar(2p2)    Excitation    0.71 eV                          
C333  Ar(2p2)    Excitation    0.72 eV                          
C334  Ar(2p2)    Excitation    0.72 eV                          
C335  Ar(2p2)    Excitation    0.74 eV                          
C336  Ar(2p2)    Excitation    0.76 eV                          
C337  Ar(2p2)    Excitation    0.77 eV                          
C338  Ar(2p2)    Excitation    0.79 eV                          
C339  Ar(2p2)    Excitation    0.87 eV                          
C340  Ar(2p2)    Excitation    0.89 eV                          
C341  Ar(2p2)    Excitation    0.90 eV                          
C342  Ar(2p2)    Excitation    0.90 eV                          
C343  Ar(2p2)    Excitation    0.91 eV                          
C344  Ar(2p2)    Excitation    0.93 eV                          
C345  Ar(2p2)    Ionization    2.43 eV                          
Ar(2p1)
glow-discharge/nominal-crs/BSR_CRModel.txt
C346  Ar(2p1)    Excitation    0.47 eV                          
C347  Ar(2p1)    Excitation    0.49 eV                          
C348  Ar(2p1)    Excitation    0.51 eV                          
C349  Ar(2p1)    Excitation    0.56 eV                          
C350  Ar(2p1)    Excitation    0.57 eV                          
C351  Ar(2p1)    Excitation    0.57 eV                          
C352  Ar(2p1)    Excitation    0.58 eV                          
C353  Ar(2p1)    Excitation    0.61 eV                          
C354  Ar(2p1)    Excitation    0.62 eV                          
C355  Ar(2p1)    Excitation    0.63 eV                          
C356  Ar(2p1)    Excitation    0.72 eV                          
C357  Ar(2p1)    Excitation    0.74 eV                          
C358  Ar(2p1)    Excitation    0.74 eV                          
C359  Ar(2p1)    Excitation    0.75 eV                          
C360  Ar(2p1)    Excitation    0.75 eV                          
C361  Ar(2p1)    Excitation    0.78 eV                          
C362  Ar(2p1)    Ionization    2.28 eV                          
RUNSERIES
R1    1.73 Td    3.00 eV                                        
R2    1.79 Td    3.05 eV                                        
R3    1.86 Td    3.10 eV                                        
R4    1.92 Td    3.15 eV                                        
R5    1.99 Td    3.20 eV                                        
R6    2.06 Td    3.25 eV                                        
R7    2.13 Td    3.31 eV                                        
R8    2.21 Td    3.36 eV                                        
R9    2.29 Td    3.42 eV                                        
R10   2.37 Td    3.47 eV                                        
R11   2.45 Td    3.53 eV                                        
R12   2.54 Td    3.59 eV                                        
R13   2.63 Td    3.65 eV                                        
R14   2.72 Td    3.71 eV                                        
R15   2.82 Td    3.77 eV                                        
R16   2.92 Td    3.83 eV                                        
R17   3.02 Td    3.89 eV                                        
R18   3.13 Td    3.95 eV                                        
R19   3.24 Td    4.02 eV                                        
R20   3.36 Td    4.09 eV                                        
R21   3.48 Td    4.15 eV                                        
R22   3.61 Td    4.22 eV                                        
R23   3.75 Td    4.29 eV                                        
R24   3.89 Td    4.36 eV                                        
R25   4.05 Td    4.43 eV                                        
R26   4.23 Td    4.50 eV                                        
R27   4.42 Td    4.58 eV                                        
R28   4.64 Td    4.65 eV                                        
R29   4.90 Td    4.73 eV                                        
R30   5.20 Td    4.81 eV                                        
R31   5.58 Td    4.89 eV                                        
R32   6.07 Td    4.97 eV                                        
R33   6.74 Td    5.05 eV                                        
R34   7.74 Td    5.13 eV                                        
R35   9.27 Td    5.21 eV                                        
R36   11.5 Td    5.30 eV                                        
R37   14.3 Td    5.39 eV                                        
R38   17.6 Td    5.47 eV                                        
R39   21.3 Td    5.56 eV                                        
R40   25.3 Td    5.66 eV                                        
R41   29.6 Td    5.75 eV                                        
R42   34.3 Td    5.84 eV                                        
R43   39.4 Td    5.94 eV                                        
R44   45.0 Td    6.04 eV                                        
R45   51.0 Td    6.13 eV                                        
R46   57.6 Td    6.23 eV                                        
R47   64.7 Td    6.34 eV                                        
R48   72.4 Td    6.44 eV                                        
R49   80.7 Td    6.55 eV                                        
R50   89.6 Td    6.65 eV                                        
R51   99.2 Td    6.76 eV                                        
R52   109. Td    6.87 eV                                        
R53   120. Td    6.99 eV                                        
R54   132. Td    7.10 eV                                        
R55   143. Td    7.22 eV                                        
R56   156. Td    7.34 eV                                        
R57   169. Td    7.46 eV                                        
R58   182. Td    7.58 eV                                        
R59   196. Td    7.70 eV                                        
R60   210. Td    7.83 eV                                        
R61   225. Td    7.96 eV                                        
R62   240. Td    8.09 eV                                        
R63   255. Td    8.22 eV                                        
R64   271. Td    8.35 eV                                        
R65   286. Td    8.49 eV                                        
R66   302. Td    8.63 eV                                        
R67   318. Td    8.77 eV                                        
R68   335. Td    8.92 eV                                        
R69   352. Td    9.06 eV                                        
R70   368. Td    9.21 eV                                        
R71   385. Td    9.36 eV                                        
R72   403. Td    9.51 eV                                        
R73   420. Td    9.67 eV                                        
R74   438. Td    9.83 eV                                        
R75   456. Td    9.99 eV                                        
R76   473. Td    10.2 eV                                        
R77   492. Td    10.3 eV                                        
R78   510. Td    10.5 eV                                        
R79   528. Td    10.7 eV                                        
R80   547. Td    10.8 eV                                        
R81   566. Td    11.0 eV                                        
R82   585. Td    11.2 eV                                        
R83   604. Td    11.4 eV                                        
R84   623. Td    11.6 eV                                        
R85   643. Td    11.8 eV                                        
R86   663. Td    11.9 eV                                        
R87   682. Td    12.1 eV                                        
R88   703. Td    12.3 eV                                        
R89   723. Td    12.5 eV                                        
R90   743. Td    12.7 eV                                        
R91   764. Td    13.0 eV                                        
R92   785. Td    13.2 eV                                        
R93   806. Td    13.4 eV                                        
R94   827. Td    13.6 eV                                        
R95   849. Td    13.8 eV                                        
R96   871. Td    14.1 eV                                        
R97   893. Td    14.3 eV                                        
R98   915. Td    14.5 eV                                        
R99   937. Td    14.8 eV                                        
R100  960. Td    15.0 eV                                        
SAVERESULTS
glow-discharge/CR/1Torr_100V/Transport/output.300K.bolsig.txt
FINISHED
